timestamp,row_index,column,original_value,cleaned_value,fix_type,rule_triggered
2026-05-16T14:55:12.371204,661,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371204,674,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371205,687,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371206,700,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371206,713,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371207,726,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371208,739,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371208,752,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371209,765,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371210,778,district,MAKWANPUR,MAKAWANPUR,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371629,12,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371631,25,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371632,38,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371632,51,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371633,64,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371634,77,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371634,90,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371635,103,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371636,116,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371636,129,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371637,142,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371638,155,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371638,168,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371639,181,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371640,194,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371640,207,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371641,220,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371642,233,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371642,246,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371643,259,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371644,272,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371644,285,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371645,298,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371646,311,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371646,324,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371647,337,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371648,350,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371648,363,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371649,376,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371650,389,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371650,402,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371651,415,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371651,428,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371652,441,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371653,454,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371653,467,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371654,480,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371655,493,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371655,506,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371656,519,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371657,532,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371657,545,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371658,558,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371658,571,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371660,584,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371661,597,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371662,610,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371662,623,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371663,636,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371664,649,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371665,662,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371665,675,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371666,688,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371668,701,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371668,714,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371669,727,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371670,740,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371670,753,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371671,766,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.371671,779,district,CHITWAN,CHITAWAN,STANDARDIZATION,Rule_06
2026-05-16T14:55:12.372791,117,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372792,118,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372793,119,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372793,120,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372794,121,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372795,122,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372795,123,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372796,124,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372797,125,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372798,126,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372798,127,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372799,128,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372799,129,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372800,130,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372801,131,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372801,132,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372802,133,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372803,134,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372803,135,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372804,136,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372805,137,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372805,138,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372806,139,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372806,140,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372807,141,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372808,142,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372808,143,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372809,144,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372810,145,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
